customer_id	order_id
10	20000
1	20001
4	20002
7	20003
8	20004
9	20005
1	20006
1	20007
5	20008
7	20009
5	20010
4	20011
3	20012
1	20013
4	20014
4	20015
3	20016
9	20017
1	20018
1	20019
4	20020
2	20021
3	20022
4	20023
7	20024
1	20025
2	20026
9	20027
4	20028
5	20029
8	20030
5	20031
2	20032
5	20033
7	20034
7	20035
10	20036
9	20037
9	20038
4	20039
2	20040
5	20041
8	20042
4	20043
6	20044
2	20045
1	20046
10	20047
6	20048
3	20049
8	20050
8	20051
6	20052
7	20053
6	20054
2	20055
4	20056
7	20057
2	20058
4	20059
6	20060
7	20061
2	20062
6	20063
1	20064
9	20065
2	20066
5	20067
3	20068
7	20069
6	20070
8	20071
5	20072
6	20073
5	20074
2	20075
8	20076
10	20077
8	20078
6	20079
8	20080
8	20081
4	20082
4	20083
9	20084
10	20085
1	20086
1	20087
4	20088
6	20089
5	20090
1	20091
2	20092
9	20093
3	20094
9	20095
3	20096
8	20097
9	20098
7	20099
10	20100
1	20101
9	20102
8	20103
1	20104
2	20105
4	20106
3	20107
6	20108
4	20109
8	20110
7	20111
10	20112
1	20113
9	20114
3	20115
3	20116
4	20117
4	20118
2	20119
2	20120
9	20121
5	20122
3	20123
2	20124
3	20125
7	20126
9	20127
7	20128
1	20129
1	20130
5	20131
5	20132
9	20133
7	20134
2	20135
5	20136
5	20137
6	20138
3	20139
7	20140
9	20141
6	20142
4	20143
7	20144
7	20145
5	20146
6	20147
7	20148
7	20149
10	20150
10	20151
8	20152
6	20153
1	20154
6	20155
3	20156
1	20157
7	20158
10	20159
4	20160
1	20161
10	20162
2	20163
7	20164
4	20165
5	20166
1	20167
9	20168
10	20169
5	20170
4	20171
4	20172
1	20173
4	20174
9	20175
3	20176
1	20177
4	20178
3	20179
1	20180
7	20181
1	20182
9	20183
5	20184
8	20185
10	20186
6	20187
10	20188
7	20189
2	20190
8	20191
7	20192
1	20193
3	20194
1	20195
7	20196
2	20197
5	20198
9	20199
4	20200
8	20201
9	20202
9	20203
9	20204
1	20205
6	20206
9	20207
10	20208
2	20209
6	20210
1	20211
3	20212
6	20213
7	20214
5	20215
9	20216
4	20217
8	20218
10	20219
1	20220
4	20221
7	20222
10	20223
5	20224
9	20225
2	20226
7	20227
8	20228
5	20229
8	20230
6	20231
5	20232
2	20233
8	20234
2	20235
8	20236
5	20237
5	20238
8	20239
7	20240
9	20241
7	20242
2	20243
8	20244
8	20245
6	20246
10	20247
6	20248
6	20249
5	20250
2	20251
9	20252
1	20253
9	20254
10	20255
1	20256
4	20257
2	20258
5	20259
1	20260
4	20261
8	20262
4	20263
7	20264
8	20265
7	20266
3	20267
4	20268
5	20269
10	20270
10	20271
10	20272
3	20273
2	20274
6	20275
1	20276
8	20277
5	20278
8	20279
9	20280
3	20281
6	20282
2	20283
10	20284
6	20285
4	20286
6	20287
1	20288
5	20289
9	20290
5	20291
3	20292
5	20293
8	20294
2	20295
6	20296
7	20297
9	20298
1	20299
9	20300
3	20301
5	20302
5	20303
4	20304
9	20305
2	20306
4	20307
2	20308
7	20309
4	20310
5	20311
8	20312
3	20313
3	20314
2	20315
10	20316
6	20317
2	20318
4	20319
10	20320
3	20321
7	20322
5	20323
1	20324
10	20325
1	20326
2	20327
10	20328
7	20329
5	20330
7	20331
6	20332
6	20333
8	20334
4	20335
3	20336
2	20337
10	20338
2	20339
1	20340
6	20341
7	20342
10	20343
7	20344
6	20345
4	20346
8	20347
7	20348
6	20349
10	20350
3	20351
7	20352
9	20353
3	20354
8	20355
1	20356
5	20357
2	20358
6	20359
4	20360
5	20361
10	20362
6	20363
1	20364
9	20365
3	20366
3	20367
6	20368
1	20369
5	20370
4	20371
3	20372
5	20373
8	20374
10	20375
7	20376
6	20377
2	20378
6	20379
1	20380
7	20381
7	20382
5	20383
9	20384
4	20385
2	20386
4	20387
6	20388
1	20389
9	20390
5	20391
5	20392
7	20393
1	20394
5	20395
10	20396
9	20397
6	20398
10	20399
7	20400
2	20401
9	20402
9	20403
3	20404
10	20405
5	20406
6	20407
3	20408
8	20409
3	20410
3	20411
9	20412
5	20413
1	20414
9	20415
8	20416
6	20417
9	20418
3	20419
9	20420
9	20421
6	20422
6	20423
7	20424
10	20425
3	20426
7	20427
10	20428
6	20429
10	20430
8	20431
9	20432
10	20433
7	20434
9	20435
4	20436
9	20437
3	20438
10	20439
10	20440
7	20441
7	20442
5	20443
2	20444
6	20445
3	20446
4	20447
10	20448
9	20449
7	20450
7	20451
1	20452
2	20453
5	20454
2	20455
6	20456
9	20457
6	20458
9	20459
7	20460
6	20461
10	20462
6	20463
5	20464
3	20465
4	20466
3	20467
7	20468
6	20469
7	20470
5	20471
9	20472
3	20473
1	20474
2	20475
7	20476
1	20477
3	20478
10	20479
9	20480
3	20481
8	20482
1	20483
10	20484
5	20485
6	20486
5	20487
10	20488
10	20489
6	20490
5	20491
1	20492
9	20493
9	20494
3	20495
5	20496
10	20497
1	20498
6	20499
5	20500
10	20501
1	20502
5	20503
9	20504
1	20505
5	20506
2	20507
10	20508
5	20509
2	20510
2	20511
3	20512
9	20513
7	20514
10	20515
7	20516
9	20517
2	20518
1	20519
3	20520
10	20521
4	20522
10	20523
9	20524
10	20525
10	20526
6	20527
1	20528
1	20529
7	20530
1	20531
9	20532
3	20533
3	20534
6	20535
2	20536
2	20537
10	20538
8	20539
3	20540
7	20541
9	20542
7	20543
4	20544
6	20545
6	20546
5	20547
7	20548
9	20549
7	20550
2	20551
5	20552
2	20553
6	20554
6	20555
1	20556
10	20557
6	20558
3	20559
2	20560
8	20561
3	20562
10	20563
3	20564
3	20565
1	20566
5	20567
7	20568
3	20569
3	20570
7	20571
4	20572
4	20573
7	20574
5	20575
7	20576
7	20577
5	20578
4	20579
8	20580
9	20581
2	20582
7	20583
7	20584
6	20585
3	20586
1	20587
4	20588
8	20589
9	20590
3	20591
7	20592
