ID	Name	EntryYear	Dept
10001	--	2002	Biochemistry
10002	--	2002	Biochemistry
10003	--	2002	Biochemistry
10004	--	2002	Biochemistry
10005	--	2002	Biochemistry
10006	--	2002	Biochemistry
10007	--	2002	Biochemistry
10008	--	2002	Biochemistry
10009	--	2002	Biochemistry
10010	--	2002	Biochemistry
10011	--	2002	Biochemistry
10012	--	2002	Biochemistry
10013	--	2002	Biochemistry
10014	--	2002	Biochemistry
10015	--	2002	Biochemistry
10016	--	2002	Biochemistry
10017	--	2002	Biochemistry
10018	--	2002	Biochemistry
10019	--	2002	Biochemistry
10020	--	2002	Biochemistry
10021	--	2002	Biochemistry
10022	--	2002	Biochemistry
10023	--	2002	Biochemistry
10024	--	2002	Biochemistry
10025	--	2002	Biochemistry
10026	--	2002	Biochemistry
10027	--	2002	Biochemistry
10028	--	2002	Biochemistry
10029	--	2002	Biochemistry
10030	--	2002	Biochemistry
10031	--	2002	Biochemistry
10032	--	2002	Biochemistry
10033	--	2002	Biochemistry
10034	--	2002	Biochemistry
10035	--	2002	Biochemistry
10036	--	2002	Biochemistry
10037	--	2002	Biochemistry
10038	--	2002	Biochemistry
10039	--	2002	Biochemistry
10040	--	2002	Biochemistry
10041	--	2002	Biochemistry
10042	--	2002	Biochemistry
10043	--	2002	Biochemistry
10044	--	2002	Biochemistry
10045	--	2002	Biochemistry
10046	--	2002	Biochemistry
10047	--	2002	Biochemistry
10048	--	2002	Biochemistry
10049	--	2002	Biochemistry
10050	--	2002	Biochemistry
10051	--	2002	Biochemistry
10052	--	2002	Biochemistry
10053	--	2002	Biochemistry
10054	--	2002	Biochemistry
10055	--	2002	Biochemistry
10056	--	2002	Biochemistry
10057	--	2002	Biochemistry
10058	--	2002	Biochemistry
10059	--	2002	Biochemistry
10060	--	2002	Biochemistry
10061	--	2002	Biochemistry
10062	--	2002	Biochemistry
10063	--	2002	Biochemistry
10064	--	2002	Biochemistry
10065	--	2002	Biochemistry
10066	--	2002	Biochemistry
10067	--	2002	Biochemistry
10068	--	2002	Biochemistry
10069	--	2002	Biochemistry
10070	--	2002	Biochemistry
10071	--	2002	Biochemistry
10072	--	2002	Biochemistry
10073	--	2002	Biochemistry
10074	--	2002	Biochemistry
10075	--	2002	Biochemistry
10076	--	2002	Biochemistry
10077	--	2002	Biochemistry
10078	--	2002	Biochemistry
10079	--	2002	Biochemistry
10080	--	2002	Biochemistry
10081	--	2002	Biochemistry
10082	--	2002	Biochemistry
10083	--	2002	Biochemistry
10084	--	2002	Biochemistry
10085	--	2002	Biochemistry
10086	--	2002	Biochemistry
10087	--	2002	Biochemistry
10088	--	2002	Biochemistry
10089	--	2002	Biochemistry
10090	--	2002	Biochemistry
10091	--	2002	Biochemistry
10092	--	2002	Biochemistry
10093	--	2002	Biochemistry
10094	--	2002	Biochemistry
10095	--	2002	Biochemistry
10096	--	2002	Biochemistry
10097	--	2002	Biochemistry
10098	--	2002	Biochemistry
10099	--	2002	Biochemistry
10100	--	2002	Biochemistry
