Date	User	KeyID
2007-03-12 06:06:40	18826	2
2007-03-12 17:13:20	16734	3
2007-03-13 12:40:00	13377	2
2007-03-13 15:26:40	13299	2
2007-03-13 21:00:00	14751	2
2007-03-13 23:46:40	12616	2
2007-03-14 05:20:00	12787	1
2007-03-14 08:06:40	15456	1
2007-03-14 10:53:20	16038	1
2007-03-14 19:13:20	11026	2
2007-03-15 11:53:20	10555	1
2007-03-15 17:26:40	13516	1
2007-03-17 16:40:00	12252	2
2007-03-18 01:00:00	10884	3
2007-03-18 03:46:40	13373	2
2007-03-18 09:20:00	13414	1
2007-03-18 17:40:00	17886	1
2007-03-18 20:26:40	13811	1
2007-03-18 23:13:20	13499	1
2007-03-19 07:33:20	10405	1
2007-03-19 15:53:20	14811	1
2007-03-20 11:20:00	18315	1
2007-03-20 22:26:40	14000	2
2007-03-21 01:13:20	11825	2
2007-03-21 17:53:20	17978	2
2007-03-21 20:40:00	15408	1
2007-03-22 16:06:40	16304	2
2007-03-22 21:40:00	10875	1
2007-03-24 04:13:20	14662	1
2007-03-24 15:20:00	10121	2
2007-03-24 18:06:40	15219	1
2007-03-25 10:46:40	10076	2
2007-03-25 13:33:20	17395	1
2007-03-25 21:53:20	17142	1
2007-03-26 03:26:40	13429	2
2007-03-26 17:20:00	12677	1
2007-03-26 20:06:40	12740	1
2007-03-26 22:53:20	17448	2
2007-03-27 04:26:40	17586	1
2007-03-27 23:53:20	11183	2
2007-03-28 02:40:00	12230	3
2007-03-28 05:26:40	11810	1
2007-03-28 11:00:00	10781	2
2007-03-28 13:46:40	15475	1
2007-03-28 16:33:20	16100	1
2007-03-29 00:53:20	13661	1
2007-03-29 09:13:20	13465	1
2007-03-29 14:46:40	10776	1
2007-03-29 20:20:00	13199	2
2007-03-30 07:26:40	15222	1
2007-03-30 13:00:00	10354	2
2007-03-30 15:46:40	17967	1
2007-03-31 14:00:00	15616	2
2007-04-01 01:06:40	18115	2
2007-04-01 09:26:40	16261	1
2007-04-01 15:00:00	12639	2
2007-04-02 18:46:40	19645	1
2007-04-02 21:33:20	14979	1
2007-04-03 03:06:40	11406	2
2007-04-03 08:40:00	11367	1
2007-04-03 19:46:40	17812	2
2007-04-04 12:26:40	18600	1
2007-04-04 15:13:20	17758	2
2007-04-05 16:13:20	14001	3
2007-04-05 21:46:40	15401	1
2007-04-06 00:33:20	13767	1
2007-04-06 06:06:40	15146	1
2007-04-06 11:40:00	13476	1
2007-04-07 04:20:00	19887	2
2007-04-07 09:53:20	14929	1
